date	close
1-May-12	200.00
30-Apr-12	200.00
27-Apr-12	200.00
26-Apr-12	200.00
25-Apr-12	200.00
24-Apr-12	200.00
23-Apr-12	200.00
20-Apr-12	200.00
19-Apr-12	200.00
18-Apr-12	200.00
17-Apr-12	200.00
16-Apr-12	200.00
13-Apr-12	200.00
12-Apr-12	200.00
11-Apr-12	200.00
10-Apr-12	200.00
9-Apr-12	200.00
5-Apr-12	200.00
4-Apr-12	200.00
3-Apr-12	200.00
2-Apr-12	200.00
30-Mar-12	200.00
29-Mar-12	200.00
28-Mar-12	200.00
27-Mar-12	200.00
26-Mar-12	200.00
23-Mar-12	200.00
22-Mar-12	200.00
21-Mar-12	200.00
20-Mar-12	200.00
19-Mar-12	200.00
16-Mar-12	200.00
15-Mar-12	200.00
14-Mar-12	200.00
13-Mar-12	200.00
12-Mar-12	200.00
9-Mar-12	200.00
8-Mar-12	200.00
7-Mar-12	200.00
6-Mar-12	200.00
5-Mar-12	200.00
2-Mar-12	200.00
1-Mar-12	200.00
29-Feb-12	200.00
28-Feb-12	200.00
27-Feb-12	200.00
24-Feb-12	200.00
23-Feb-12	200.00
22-Feb-12	200.00
21-Feb-12	200.00
17-Feb-12	200.00
16-Feb-12	200.00
15-Feb-12	200.00
14-Feb-12	200.00
13-Feb-12	200.00
10-Feb-12	200.00
9-Feb-12	200.00
8-Feb-12	200.00
7-Feb-12	200.00
6-Feb-12	200.00
3-Feb-12	200.00
2-Feb-12	200.00
1-Feb-12	200.00
31-Jan-12	200.00
30-Jan-12	200.00
27-Jan-12	200.00
26-Jan-12	200.00
25-Jan-12	200.00
24-Jan-12	200.00
23-Jan-12	200.00
20-Jan-12	200.00
19-Jan-12	200.00
18-Jan-12	200.00
17-Jan-12	200.00
13-Jan-12	200.00
12-Jan-12	200.00
11-Jan-12	200.00
10-Jan-12	200.00
9-Jan-12	200.00
6-Jan-12	200.00
5-Jan-12	200.00
4-Jan-12	200.00
3-Jan-12	200.00
30-Dec-11	200.00
29-Dec-11	200.00
28-Dec-11	200.00
27-Dec-11	200.00
23-Dec-11	200.00
22-Dec-11	200.00
21-Dec-11	200.00
20-Dec-11	200.00
19-Dec-11	200.00
16-Dec-11	200.00
15-Dec-11	200.00
14-Dec-11	200.00
13-Dec-11	200.00
12-Dec-11	200.00
9-Dec-11	200.00
8-Dec-11	200.00
7-Dec-11	200.00
6-Dec-11	200.00
5-Dec-11	200.00
2-Dec-11	200.00
1-Dec-11	200.00
30-Nov-11	200.00
29-Nov-11	200.00
28-Nov-11	200.00
25-Nov-11	200.00
23-Nov-11	200.00
22-Nov-11	200.00
21-Nov-11	200.00
18-Nov-11	200.00
17-Nov-11	200.00
16-Nov-11	200.00
15-Nov-11	200.00
14-Nov-11	200.00
11-Nov-11	200.00
10-Nov-11	200.00
9-Nov-11	200.00
8-Nov-11	200.00
7-Nov-11	200.00
4-Nov-11	200.00
3-Nov-11	200.00
2-Nov-11	200.00
1-Nov-11	200.00
31-Oct-11	200.00
28-Oct-11	200.00
27-Oct-11	200.00
26-Oct-11	200.00
25-Oct-11	200.00
24-Oct-11	200.00
21-Oct-11	200.00
20-Oct-11	200.00
19-Oct-11	200.00
18-Oct-11	200.00
17-Oct-11	200.00
14-Oct-11	200.00
13-Oct-11	200.00
12-Oct-11	200.00
11-Oct-11	200.00
10-Oct-11	200.00
7-Oct-11	200.00
6-Oct-11	200.00
5-Oct-11	200.00
4-Oct-11	200.00
3-Oct-11	200.00
30-Sep-11	200.00
29-Sep-11	200.00
28-Sep-11	200.00
27-Sep-11	200.00
26-Sep-11	200.00
23-Sep-11	200.00
22-Sep-11	200.00
21-Sep-11	200.00
20-Sep-11	200.00
19-Sep-11	200.00
16-Sep-11	200.00
15-Sep-11	200.00
14-Sep-11	200.00
13-Sep-11	200.00
12-Sep-11	200.00
9-Sep-11	200.00
8-Sep-11	200.00
7-Sep-11	200.00
6-Sep-11	200.00
2-Sep-11	200.00
1-Sep-11	200.00
31-Aug-11	200.00
30-Aug-11	200.00
29-Aug-11	200.00
26-Aug-11	200.00
25-Aug-11	200.00
24-Aug-11	200.00
23-Aug-11	200.00
22-Aug-11	200.00
19-Aug-11	200.00
18-Aug-11	200.00
17-Aug-11	200.00
16-Aug-11	200.00
15-Aug-11	200.00
12-Aug-11	200.00
11-Aug-11	200.00
10-Aug-11	200.00
9-Aug-11	200.00
8-Aug-11	200.00
5-Aug-11	200.00
4-Aug-11	200.00
3-Aug-11	200.00
2-Aug-11	200.00
1-Aug-11	200.00
29-Jul-11	200.00
28-Jul-11	200.00
27-Jul-11	200.00
26-Jul-11	200.00
25-Jul-11	200.00
22-Jul-11	200.00
21-Jul-11	200.00
20-Jul-11	200.00
19-Jul-11	200.00
18-Jul-11	200.00
15-Jul-11	200.00
14-Jul-11	200.00
13-Jul-11	200.00
12-Jul-11	200.00
11-Jul-11	200.00
8-Jul-11	200.00
7-Jul-11	200.00
6-Jul-11	200.00
5-Jul-11	200.00
1-Jul-11	200.00
30-Jun-11	200.00
29-Jun-11	200.00
28-Jun-11	200.00
27-Jun-11	200.00
24-Jun-11	200.00
23-Jun-11	200.00
22-Jun-11	200.00
21-Jun-11	200.00
20-Jun-11	200.00
17-Jun-11	200.00
16-Jun-11	200.00
15-Jun-11	200.00
14-Jun-11	200.00
13-Jun-11	200.00
10-Jun-11	200.00
9-Jun-11	200.00
8-Jun-11	200.00
7-Jun-11	200.00
6-Jun-11	200.00
3-Jun-11	200.00
2-Jun-11	200.00
1-Jun-11	200.00
31-May-11	200.00
27-May-11	200.00
26-May-11	200.00
25-May-11	200.00
24-May-11	200.00
23-May-11	200.00
20-May-11	200.00
19-May-11	200.00
18-May-11	200.00
17-May-11	200.00
16-May-11	200.00
13-May-11	200.00
12-May-11	200.00
11-May-11	200.00
10-May-11	200.00
9-May-11	200.00
6-May-11	200.00
5-May-11	200.00
4-May-11	200.00
3-May-11	200.00
2-May-11	200.00
29-Apr-11	200.00
28-Apr-11	200.00
27-Apr-11	200.00
26-Apr-11	200.00
25-Apr-11	200.00
21-Apr-11	200.00
20-Apr-11	200.00
19-Apr-11	200.00
18-Apr-11	200.00
15-Apr-11	200.00
14-Apr-11	200.00
13-Apr-11	200.00
12-Apr-11	200.00
11-Apr-11	200.00
8-Apr-11	200.00
7-Apr-11	200.00
6-Apr-11	200.00
5-Apr-11	200.00
4-Apr-11	200.00
1-Apr-11	200.00
31-Mar-11	200.00
30-Mar-11	200.00
29-Mar-11	200.00
28-Mar-11	200.00
25-Mar-11	200.00
24-Mar-11	200.00
23-Mar-11	200.00
22-Mar-11	200.00
21-Mar-11	200.00
18-Mar-11	200.00
17-Mar-11	200.00
16-Mar-11	200.00
15-Mar-11	200.00
14-Mar-11	200.00
11-Mar-11	200.00
10-Mar-11	200.00
9-Mar-11	200.00
8-Mar-11	200.00
7-Mar-11	200.00
4-Mar-11	200.00
3-Mar-11	200.00
2-Mar-11	200.00
1-Mar-11	200.00
28-Feb-11	200.00
25-Feb-11	200.00
24-Feb-11	200.00
23-Feb-11	200.00
22-Feb-11	200.00
18-Feb-11	200.00
17-Feb-11	200.00
16-Feb-11	200.00
15-Feb-11	200.00
14-Feb-11	200.00
11-Feb-11	200.00
10-Feb-11	200.00
9-Feb-11	200.00
8-Feb-11	200.00
7-Feb-11	200.00
4-Feb-11	200.00
3-Feb-11	200.00
2-Feb-11	200.00
1-Feb-11	200.00
31-Jan-11	200.00
28-Jan-11	200.00
27-Jan-11	200.00
26-Jan-11	200.00
25-Jan-11	200.00
24-Jan-11	200.00
21-Jan-11	200.00
20-Jan-11	200.00
19-Jan-11	200.00
18-Jan-11	200.00
14-Jan-11	200.00
13-Jan-11	200.00
12-Jan-11	200.00
11-Jan-11	200.00
10-Jan-11	200.00
7-Jan-11	200.00
6-Jan-11	200.00
5-Jan-11	200.00
4-Jan-11	200.00
3-Jan-11	200.00
31-Dec-10	200.00
30-Dec-10	200.00
29-Dec-10	200.00
28-Dec-10	200.00
27-Dec-10	200.00
23-Dec-10	200.00
22-Dec-10	200.00
21-Dec-10	200.00
20-Dec-10	200.00
17-Dec-10	200.00
16-Dec-10	200.00
15-Dec-10	200.00
14-Dec-10	200.00
13-Dec-10	200.00
10-Dec-10	200.00
9-Dec-10	200.00
8-Dec-10	200.00
7-Dec-10	200.00
6-Dec-10	200.00
